Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210714,S92000003,Total,2875396,Dose 2,9464,0.329137273613791,2554624,88.844249626834,40 years and over
20210715,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,1784,"",155924,"",16 years and over
20210715,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,172,"",17009,"",16 years and over
20210715,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,4617,"",1682103,"",16 years and over
20210715,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,6068,"",1016353,"",16 years and over
20210715,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,458,"",2128753,"",16 years and over
20210715,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,6344,"",1911668,"",16 years and over
20210715,S92000003,Total,4549217,Dose 1,6859,"",3966780,"",16 years and over
20210715,S92000003,Total,4439078,Dose 1,6809,0.15338770798801,3956080,89.1194072282578,18 years and over
20210715,S92000003,Total,2875396,Dose 1,616,0.0214231361523769,2811130,97.7649687208301,40 years and over
20210715,S92000003,Total,4549217,Dose 2,12584,"",2945030,"",16 years and over
20210715,S92000003,Total,4439078,Dose 2,12475,0.281026825840862,2938233,66.1901638132964,18 years and over
20210715,S92000003,Total,2875396,Dose 2,8329,0.289664449696668,2562953,89.1339140765307,40 years and over
20210716,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,1952,"",157876,"",16 years and over
20210716,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,622,"",17631,"",16 years and over
20210716,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,3876,"",1685979,"",16 years and over
20210716,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,6268,"",1022621,"",16 years and over
20210716,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,366,"",2129119,"",16 years and over
20210716,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,7045,"",1918713,"",16 years and over
20210716,S92000003,Total,4549217,Dose 1,6194,"",3972974,"",16 years and over
20210716,S92000003,Total,4439078,Dose 1,6143,0.138384592476185,3962223,89.2577918207339,18 years and over
20210716,S92000003,Total,2875396,Dose 1,582,0.0202406903257847,2811712,97.7852094111559,40 years and over
20210716,S92000003,Total,4549217,Dose 2,13935,"",2958965,"",16 years and over
20210716,S92000003,Total,4439078,Dose 2,13832,0.311596236876216,2952065,66.5017600501726,18 years and over
20210716,S92000003,Total,2875396,Dose 2,9076,0.315643480063268,2572029,89.449557556594,40 years and over
20210717,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,1749,"",159625,"",16 years and over
20210717,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,101,"",17732,"",16 years and over
20210717,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,3955,"",1689934,"",16 years and over
20210717,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,4660,"",1027281,"",16 years and over
20210717,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,283,"",2129402,"",16 years and over
20210717,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,6842,"",1925555,"",16 years and over
20210717,S92000003,Total,4549217,Dose 1,5987,"",3978961,"",16 years and over
20210717,S92000003,Total,4439078,Dose 1,5932,0.133631353177394,3968155,89.3914231739113,18 years and over
20210717,S92000003,Total,2875396,Dose 1,521,0.0181192434016045,2812233,97.8033286545575,40 years and over
20210717,S92000003,Total,4549217,Dose 2,11603,"",2970568,"",16 years and over
20210717,S92000003,Total,4439078,Dose 2,11544,0.260054002204962,2963609,66.7618140523775,18 years and over
20210717,S92000003,Total,2875396,Dose 2,8275,0.287786447501492,2580304,89.7373440040954,40 years and over
20210718,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,2068,"",161693,"",16 years and over
20210718,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,180,"",17912,"",16 years and over
20210718,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,3441,"",1693375,"",16 years and over
20210718,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,4340,"",1031621,"",16 years and over
